ObservationId,EquivalentObservationCount,CapturedUtc,Sequence,Behavior,NpcFamily,MonsterData,Level,CapturedPlayfieldId,RuntimePlayfieldId,Name,SourceIdentity,SourceGeneration,RouteSignature,StartX,StartY,StartZ,EndX,EndY,EndZ,DelayAfterSeconds,PathCount
m03110,1,2026-07-22T13:42:17.468142Z,29065,flee,0,26092,40,1044525,6553,ICC Peacekeeper,SimpleChar:7962A325,5,8288f176b5e014d9,3449.23682,1.954507,796.54657,3464.06104,8.165289,786.873718,0,2
m08042,1,2026-07-22T14:09:18.991343Z,67127,flee,55,17687,6,1044525,6553,Rollerrat,SimpleChar:7988CA3F,2,5506224d944b8021,3590.00513,0.01,501.436523,3587.54688,0.847537,510.693878,0,2
m03394,1,2026-07-22T13:45:16.881703Z,33845,flee,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,1,3b8f32490fd0ccd5,3388.68506,2.11,671.932678,3391.53149,2.61,675.039673,0,2
m07242,1,2026-07-22T13:58:53.136163Z,52781,flee,97,96195,1,1044525,6553,Anger Manifestation,SimpleChar:798915B3,2,c97f2601555698c0,3553.521,5.110001,865.815918,3538.78247,5.610001,860.21521,0,2
m03396,1,2026-07-22T13:45:17.420112Z,33863,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:798915B6,1,c1822bed2c4e6fd0,3387.01343,2.11,670.899231,3391.18115,2.61,674.686462,815.832135,2
m07244,1,2026-07-22T13:58:53.252247Z,52803,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:798915B6,1,76674a67de9ad612,3551.9187,5.110001,865.000122,3538.13232,5.676371,860.404785,165.510119,2
m07573,1,2026-07-22T14:01:38.762366Z,57162,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:798915B6,1,3d01918392ed39bb,3426.94067,2.11,672.879211,3426.68799,2.61,669.72937,1063.600033,2
m09165,1,2026-07-22T14:19:22.362399Z,81802,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:798915B6,1,5721982d6d4bf2dc,3407.396,9.01,881.420959,3405.87109,9.51,885.272034,11.734489,2
m09208,1,2026-07-22T14:19:34.096888Z,82195,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:798915B6,1,12880972e1f98286,3408.77832,9.01,875.691956,3412.30249,9.51,875.443665,1.447286,2
m09215,1,2026-07-22T14:19:35.544174Z,82239,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:798915B6,1,9ab9d96c26c22887,3411.41992,9.01,875.505798,3419.93066,9.645,861.73053,1.976981,2
m09224,1,2026-07-22T14:19:37.521155Z,82289,flee,95,96056,2,1044525,6553,Bureaucrat Worker,SimpleChar:798915B6,1,7f41019eeead66e1,3416.04028,9.145,868.027283,3422.09229,10.554694,852.73175,0,2
m03395,1,2026-07-22T13:45:16.881703Z,33847,flee,95,17649,1,1044525,6553,Engineer Automaton I,SimpleChar:798915BE,1,52728fc68313e256,3386.70435,2.11,669.675476,3390.41553,2.61,674.348206,200.929096,2
m03604,1,2026-07-22T13:48:37.810799Z,40889,flee,95,17649,1,1044525,6553,Engineer Automaton I,SimpleChar:798915BE,1,14ef570dc5bb1c66,3486.23999,2.11,694.4823,3488.88232,2.61,692.322693,615.325864,2
m07243,1,2026-07-22T13:58:53.136663Z,52783,flee,95,17649,1,1044525,6553,Engineer Automaton I,SimpleChar:798915BE,1,cf5b66b48f964aac,3550.76294,5.110001,865.78418,3538.89087,5.610001,860.138733,165.425137,2
m07572,1,2026-07-22T14:01:38.561800Z,57155,flee,95,17649,1,1044525,6553,Engineer Automaton I,SimpleChar:798915BE,1,2ca47a19652fc817,3426.08447,2.11,673.135254,3428.97168,2.61,670.315674,254.206419,2
m07916,1,2026-07-22T14:05:52.768219Z,64491,flee,95,17649,1,1044525,6553,Engineer Automaton I,SimpleChar:798915BE,1,151ffe9189c3048b,3610.76855,0.01,401.446167,3606.82056,0.51,399.224976,809.59468,2
m09166,1,2026-07-22T14:19:22.362899Z,81803,flee,95,17649,1,1044525,6553,Engineer Automaton I,SimpleChar:798915BE,1,9c274d1886c371c8,3407.50439,9.01,881.416626,3406.97852,9.51,884.253601,0,2
m03103,1,2026-07-22T13:42:12.377053Z,28944,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:798915C5,1,b5462757ba12f25f,3453.6792,2.17622,795.733948,3450.73706,4.41,787.894043,0,2
m03104,1,2026-07-22T13:42:12.690202Z,28957,flee,25,17657,5,1044525,6553,Garbage Flea,SimpleChar:798915C9,1,d52f3224f610523d,3453.13647,2.287017,795.241516,3451.36206,4.41,788.744507,0,2
m03255,1,2026-07-22T13:43:51.422590Z,30928,flee,25,17657,6,1044525,6553,Garbage Flea,SimpleChar:798915DB,1,9aa5f4ed058deff0,3422.96216,0,807.855042,3441.61328,0.51,803.566162,0,2
m07228,1,2026-07-22T13:58:48.210365Z,52506,flee,1019,297023,2,1044525,6553,Cleanmeister Intelligence Robot,SimpleChar:798915E0,2,b005d14510a8b9dc,3555.33325,5.110001,866.945251,3538.15088,5.610001,860.048279,4.276801,2
m07241,1,2026-07-22T13:58:52.487166Z,52748,flee,1019,297023,2,1044525,6553,Cleanmeister Intelligence Robot,SimpleChar:798915E0,2,70ea639ff00bab0b,3549.69531,5.110001,864.667358,3539.02734,5.632537,856.553772,0,2
